"Freq","Cumul","relative","phastCons","Type","GeneSet"
9012,9012,0.0338387365670129,"0","exons","Universal"
11347,20359,0.0764450552338898,"0.00100000004749745","exons","Universal"
7516,27875,0.104666531491953,"0.0020000000949949","exons","Universal"
5407,33282,0.124969022461532,"0.00300000002607703","exons","Universal"
4321,37603,0.141193742912715,"0.00400000018998981","exons","Universal"
3480,41083,0.154260631866688,"0.00499999988824129","exons","Universal"
2962,44045,0.165382506890156,"0.00600000005215406","exons","Universal"
2434,46479,0.174521819451641,"0.00700000021606684","exons","Universal"
2238,48717,0.182925180796179,"0.00800000037997961","exons","Universal"
1870,50587,0.189946756182366,"0.00899999961256981","exons","Universal"
1775,52362,0.196611620519521,"0.00999999977648258","exons","Universal"
1679,54041,0.202916018954499,"0.0109999999403954","exons","Universal"
1516,55557,0.208608376326402,"0.0120000001043081","exons","Universal"
1301,56858,0.213493440271551,"0.0130000002682209","exons","Universal"
1290,58148,0.218337200832075,"0.0140000004321337","exons","Universal"
1054,59202,0.222294816049744,"0.0149999996647239","exons","Universal"
1080,60282,0.226350057449253,"0.0160000007599592","exons","Universal"
937,61219,0.229868354848642,"0.017000000923872","exons","Universal"
911,62130,0.233289026066191,"0.0179999992251396","exons","Universal"
822,62952,0.236375515353595,"0.0189999993890524","exons","Universal"
873,63825,0.239653502151531,"0.0199999995529652","exons","Universal"
712,64537,0.242326957592689,"0.0209999997168779","exons","Universal"
772,65309,0.245225704222708,"0.0219999998807907","exons","Universal"
805,66114,0.248248361006601,"0.0230000000447035","exons","Universal"
649,66763,0.250685260699454,"0.0240000002086163","exons","Universal"
612,67375,0.252983230825842,"0.025000000372529","exons","Universal"
619,67994,0.255307484924265,"0.0260000005364418","exons","Universal"
541,68535,0.257338860477167,"0.0270000007003546","exons","Universal"
550,69085,0.259404029708398,"0.0280000008642673","exons","Universal"
548,69633,0.261461689233334,"0.028999999165535","exons","Universal"
501,70134,0.263342870660328,"0.0299999993294477","exons","Universal"
486,70620,0.265167729290107,"0.0309999994933605","exons","Universal"
533,71153,0.267169066017828,"0.0320000015199184","exons","Universal"
445,71598,0.268839975668552,"0.0329999998211861","exons","Universal"
459,72057,0.270563453263343,"0.034000001847744","exons","Universal"
467,72524,0.272316969683316,"0.0350000001490116","exons","Universal"
377,72901,0.273732549319996,"0.0359999984502792","exons","Universal"
418,73319,0.275302077935732,"0.0370000004768372","exons","Universal"
390,73709,0.276766470663332,"0.0379999987781048","exons","Universal"
