"Freq","Cumul","relative","phastCons","Type","GeneSet"
408,408,0.0157620243384199,"0","exons","Universal"
485,893,0.0344987444465907,"0.00100000004749745","exons","Universal"
406,1299,0.0501835039598223,"0.0020000000949949","exons","Universal"
365,1664,0.0642843345566931,"0.00300000002607703","exons","Universal"
265,1929,0.0745219238941472,"0.00400000018998981","exons","Universal"
221,2150,0.083059687077458,"0.00499999988824129","exons","Universal"
165,2315,0.0894340351554955,"0.00600000005215406","exons","Universal"
158,2473,0.0955379563453738,"0.00700000021606684","exons","Universal"
142,2615,0.101023758933745,"0.00800000037997961","exons","Universal"
177,2792,0.107861695962913,"0.00899999961256981","exons","Universal"
134,2926,0.113038439250531,"0.00999999977648258","exons","Universal"
129,3055,0.118022020475179,"0.0109999999403954","exons","Universal"
105,3160,0.122078423797566,"0.0120000001043081","exons","Universal"
103,3263,0.126057562294765,"0.0130000002682209","exons","Universal"
95,3358,0.129727641491211,"0.0140000004321337","exons","Universal"
85,3443,0.133011396561715,"0.0149999996647239","exons","Universal"
82,3525,0.136179254394437,"0.0160000007599592","exons","Universal"
68,3593,0.13880625845084,"0.017000000923872","exons","Universal"
70,3663,0.141510527332432,"0.0179999992251396","exons","Universal"
77,3740,0.144485223102183,"0.0189999993890524","exons","Universal"
77,3817,0.147459918871934,"0.0199999995529652","exons","Universal"
58,3875,0.149700598802395,"0.0209999997168779","exons","Universal"
66,3941,0.15225033803361,"0.0219999998807907","exons","Universal"
50,3991,0.154181958663319,"0.0230000000447035","exons","Universal"
54,4045,0.156268108943404,"0.0240000002086163","exons","Universal"
58,4103,0.158508788873865,"0.025000000372529","exons","Universal"
59,4162,0.160788101216921,"0.0260000005364418","exons","Universal"
54,4216,0.162874251497006,"0.0270000007003546","exons","Universal"
48,4264,0.164728607301526,"0.0280000008642673","exons","Universal"
34,4298,0.166042109329728,"0.028999999165535","exons","Universal"
29,4327,0.167162449294958,"0.0299999993294477","exons","Universal"
41,4368,0.168746378211319,"0.0309999994933605","exons","Universal"
40,4408,0.170291674715086,"0.0320000015199184","exons","Universal"
42,4450,0.171914236044041,"0.0329999998211861","exons","Universal"
37,4487,0.173343635310025,"0.034000001847744","exons","Universal"
34,4521,0.174657137338227,"0.0350000001490116","exons","Universal"
40,4561,0.176202433841993,"0.0359999984502792","exons","Universal"
41,4602,0.177786362758354,"0.0370000004768372","exons","Universal"
32,4634,0.179022599961368,"0.0379999987781048","exons","Universal"
25,4659,0.179988410276222,"0.0390000008046627","exons","Universal"
43,4702,0.181649604017771,"0.0399999991059303","exons","Universal"
28,4730,0.182731311570408,"0.0410000011324883","exons","Universal"
23,4753,0.183619857060073,"0.0419999994337559","exons","Universal"
28,4781,0.18470156461271,"0.0430000014603138","exons","Universal"
27,4808,0.185744639752753,"0.0439999997615814","exons","Universal"
28,4836,0.186826347305389,"0.0450000017881393","exons","Universal"
27,4863,0.187869422445432,"0.046000000089407","exons","Universal"
23,4886,0.188757967935098,"0.0469999983906746","exons","Universal"
32,4918,0.189994205138111,"0.0480000004172325","exons","Universal"
28,4946,0.191075912690748,"0.0489999987185001","exons","Universal"
31,4977,0.192273517481167,"0.0500000007450581","exons","Universal"
14,4991,0.192814371257485,"0.0509999990463257","exons","Universal"
25,5016,0.193780181572339,"0.0520000010728836","exons","Universal"
20,5036,0.194552829824223,"0.0529999993741512","exons","Universal"
21,5057,0.1953641104887,"0.0540000014007092","exons","Universal"
21,5078,0.196175391153178,"0.0549999997019768","exons","Universal"
13,5091,0.196677612516902,"0.0560000017285347","exons","Universal"
19,5110,0.197411628356191,"0.0570000000298023","exons","Universal"
20,5130,0.198184276608074,"0.0579999983310699","exons","Universal"
25,5155,0.199150086922928,"0.0590000003576279","exons","Universal"
19,5174,0.199884102762217,"0.0599999986588955","exons","Universal"
15,5189,0.20046358895113,"0.0610000006854534","exons","Universal"
13,5202,0.200965810314854,"0.061999998986721","exons","Universal"
12,5214,0.201429399265984,"0.063000001013279","exons","Universal"
19,5233,0.202163415105273,"0.0640000030398369","exons","Universal"
10,5243,0.202549739231215,"0.0649999976158142","exons","Universal"
16,5259,0.203167857832722,"0.0659999996423721","exons","Universal"
18,5277,0.203863241259417,"0.0670000016689301","exons","Universal"
9,5286,0.204210932972764,"0.068000003695488","exons","Universal"
16,5302,0.204829051574271,"0.0689999982714653","exons","Universal"
17,5319,0.205485802588372,"0.0700000002980232","exons","Universal"
19,5338,0.206219818427661,"0.0710000023245811","exons","Universal"
18,5356,0.206915201854356,"0.0719999969005585","exons","Universal"
11,5367,0.207340158392892,"0.0729999989271164","exons","Universal"
17,5384,0.207996909406992,"0.0740000009536743","exons","Universal"
13,5397,0.208499130770717,"0.0750000029802322","exons","Universal"
15,5412,0.209078616959629,"0.0759999975562096","exons","Universal"
19,5431,0.209812632798918,"0.0769999995827675","exons","Universal"
25,5456,0.210778443113772,"0.0780000016093254","exons","Universal"
14,5470,0.211319296890091,"0.0790000036358833","exons","Universal"
12,5482,0.211782885841221,"0.0799999982118607","exons","Universal"
21,5503,0.212594166505698,"0.0810000002384186","exons","Universal"
15,5518,0.213173652694611,"0.0820000022649765","exons","Universal"
15,5533,0.213753138883523,"0.0829999968409538","exons","Universal"
15,5548,0.214332625072436,"0.0839999988675117","exons","Universal"
4,5552,0.214487154722812,"0.0850000008940697","exons","Universal"
15,5567,0.215066640911725,"0.0860000029206276","exons","Universal"
13,5580,0.215568862275449,"0.0869999974966049","exons","Universal"
8,5588,0.215877921576202,"0.0879999995231628","exons","Universal"
10,5598,0.216264245702144,"0.0890000015497208","exons","Universal"
12,5610,0.216727834653274,"0.0900000035762787","exons","Universal"
12,5622,0.217191423604404,"0.090999998152256","exons","Universal"
21,5643,0.218002704268882,"0.0920000001788139","exons","Universal"
12,5655,0.218466293220012,"0.0930000022053719","exons","Universal"
7,5662,0.218736720108171,"0.0939999967813492","exons","Universal"
13,5675,0.219238941471895,"0.0949999988079071","exons","Universal"
11,5686,0.219663898010431,"0.096000000834465","exons","Universal"
6,5692,0.219895692485996,"0.0970000028610229","exons","Universal"
10,5702,0.220282016611937,"0.0979999974370003","exons","Universal"
14,5716,0.220822870388256,"0.0989999994635582","exons","Universal"
12,5728,0.221286459339386,"0.100000001490116","exons","Universal"
14,5742,0.221827313115704,"0.101000003516674","exons","Universal"
5,5747,0.222020475178675,"0.101999998092651","exons","Universal"
17,5764,0.222677226192776,"0.103000000119209","exons","Universal"
11,5775,0.223102182731312,"0.104000002145767","exons","Universal"
16,5791,0.223720301332818,"0.104999996721745","exons","Universal"
15,5806,0.224299787521731,"0.105999998748302","exons","Universal"
13,5819,0.224802008885455,"0.10700000077486","exons","Universal"
18,5837,0.22549739231215,"0.108000002801418","exons","Universal"
17,5854,0.226154143326251,"0.108999997377396","exons","Universal"
15,5869,0.226733629515163,"0.109999999403954","exons","Universal"
10,5879,0.227119953641105,"0.111000001430511","exons","Universal"
7,5886,0.227390380529264,"0.112000003457069","exons","Universal"
13,5899,0.227892601892988,"0.112999998033047","exons","Universal"
10,5909,0.22827892601893,"0.114000000059605","exons","Universal"
9,5918,0.228626617732277,"0.115000002086163","exons","Universal"
17,5935,0.229283368746378,"0.11599999666214","exons","Universal"
12,5947,0.229746957697508,"0.116999998688698","exons","Universal"
15,5962,0.230326443886421,"0.118000000715256","exons","Universal"
15,5977,0.230905930075333,"0.119000002741814","exons","Universal"
7,5984,0.231176356963492,"0.119999997317791","exons","Universal"
11,5995,0.231601313502028,"0.120999999344349","exons","Universal"
8,6003,0.231910372802782,"0.122000001370907","exons","Universal"
11,6014,0.232335329341317,"0.123000003397465","exons","Universal"
7,6021,0.232605756229477,"0.123999997973442","exons","Universal"
10,6031,0.232992080355418,"0.125","exons","Universal"
13,6044,0.233494301719142,"0.126000002026558","exons","Universal"
9,6053,0.23384199343249,"0.127000004053116","exons","Universal"
9,6062,0.234189685145837,"0.128000006079674","exons","Universal"
9,6071,0.234537376859185,"0.12899999320507","exons","Universal"
13,6084,0.235039598222909,"0.129999995231628","exons","Universal"
